"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC018462.2",0.0370872318719689,0.200745879102238,0.03,0.017,1
"SERPINB9P1",0.0371952182063536,-0.516053640163447,0.075,0.094,1
"RP11-204L24.2",0.0380795456604944,0.399051136607607,0.022,0.012,1
"RP11-296I10.3",0.0381060575809764,0.165869295674105,0.047,0.031,1
"RP3-331H24.5",0.0382670481505853,0.398003206207532,0.038,0.025,1
"HOTAIRM1",0.0384518558317519,-0.570957202548294,0.049,0.066,1
"AC004112.4",0.0384688841580336,0.615633096104978,0.016,0.007,1
"PAXBP1-AS1",0.0386436153985353,-0.84853560511884,0.024,0.036,1
"RP1-209A6.1",0.0387612180618448,1.02187988131033,0.01,0.004,1
"RP4-591N18.2",0.038903286471399,0.892556457621528,0.01,0.004,1
"RP1-43E13.2",0.0391556881671107,0.124395821958833,0.109,0.084,1
"RMRP",0.039188750640847,0.645741849750538,0.01,0.004,1
"RP11-142A5.1",0.0395963569571446,-0.996420128377508,0.024,0.036,1
"RP11-386G11.5",0.0399023164023359,0.699893333786627,0.013,0.005,1
"RP11-775D22.3",0.0401777186924846,0.505070624719529,0.013,0.005,1
"RP11-792A8.4",0.0405339165486276,0.525618000925466,0.028,0.016,1
"RP11-631N16.2",0.0405459516378842,0.103596475749493,0.072,0.052,1
"AC074117.10",0.0410038180655193,0.316909681850187,0.044,0.029,1
"RP11-807H22.7",0.0416337506696889,-0.970418594435742,0.01,0.018,1
"RP11-63E5.6",0.042819254152969,-1.15671761097523,0.014,0.024,1
"RP11-136F16.1",0.0430254456765409,0.407571765996285,0.045,0.03,1
"RP11-239E10.3",0.0435235141733454,0.971981481961651,0.012,0.005,1
"RP11-65M17.3",0.0438972607854262,-1.03310224069602,0.008,0.016,1
"AC091132.1",0.0439674579246894,0.750006126846446,0.012,0.005,1
"AC083949.1",0.0443681185553754,-0.617512898956945,0.019,0.029,1
"RP11-110G21.1",0.0446624902591916,-0.525601636949511,0.036,0.05,1
"CAPN15",0.0446803055237097,0.131009069505611,0.103,0.08,1
"RP11-396B14.2",0.0449569282028163,0.662674625878052,0.022,0.012,1
"RP11-76E17.3",0.0451493254424732,0.710890255688505,0.038,0.025,1
"RP1-187B23.1",0.0453003747284099,0.402635282454115,0.035,0.022,1
"CTB-161M19.4",0.0454823459616518,-1.00640535788956,0.026,0.037,1
"RP11-472I20.3",0.0456259199006532,0.327123609966446,0.035,0.022,1
"RP11-88E10.5",0.0457210007228571,-1.66486363697206,0.005,0.011,1
"RP11-321C24.1",0.0457431040349038,0.455886693303553,0.035,0.022,1
"RP5-991G20.1",0.0468441170998617,0.278181895830592,0.059,0.042,1
"AC137934.1",0.0468886703263498,0.277691367209016,0.056,0.039,1
"ATP6V0E2-AS1",0.0469456153587163,0.428145369117796,0.024,0.014,1
"PRKCA-AS1",0.0469727758025157,0.267966426199449,0.052,0.037,1
"RP11-531A24.5",0.0472576986076462,0.260865629693915,0.042,0.028,1
"ADAMTS9-AS2",0.0473724939033064,1.39207180019769,0.01,0.004,1
"RP11-371F15.3",0.0473756650272607,0.520243955807784,0.055,0.039,1
"AC004702.2",0.0476455996022115,0.56964925101049,0.017,0.008,1
"MIR2052HG",0.0477129631939535,-0.93828832637347,0.036,0.049,1
"RP11-336A10.2",0.0478971525690145,0.201122953725821,0.033,0.021,1
"GSN-AS1",0.0479858764845562,0.70494608864961,0.01,0.004,1
"RP11-162D16.2",0.0483099357334208,0.352242148471522,0.057,0.041,1
"RP11-305B6.3",0.0483386867709819,-1.23400516972536,0.007,0.014,1
"RP5-896L10.1",0.0485209588664336,0.436716344182702,0.017,0.008,1
"RP11-1191J2.5",0.0490054175116543,-1.17146379654357,0.007,0.014,1
"RP11-130F10.1",0.0495618033915176,-0.597982421099331,0.089,0.108,1
"RMDN2-AS1",0.0496146228837151,0.803742037996329,0.019,0.01,1
"RP11-488L18.8",0.049876015969759,0.482466755443451,0.018,0.009,1
"AC104532.4",0.050558720438653,0.688468506820217,0.019,0.01,1
"AC008781.7",0.0512339877175646,0.686395388581746,0.014,0.006,1
"RP4-591C20.9",0.0512557985017961,0.581935347294519,0.014,0.006,1
"HCG25",0.0513885714834934,0.636040989270845,0.021,0.012,1
"LINC00609",0.0521953354089164,-0.849388083714068,0.02,0.03,1
"RP11-770G2.2",0.0522670106008384,0.627351376607842,0.021,0.012,1
"WAC-AS1",0.0525006734800053,-0.450370701122487,0.069,0.087,1
"RP11-87F15.2",0.0526182358146863,0.211524046519729,0.049,0.034,1
"RP11-63M22.2",0.0536583433816583,0.641215835271552,0.011,0.005,1
"LINC00654",0.0536583433816583,0.667614326798997,0.011,0.005,1
"NPPA-AS1",0.0538408049113422,-1.24231151265104,0.006,0.012,1
"CATIP-AS2",0.0539070736221518,0.320845118137843,0.021,0.012,1
"MIR3142HG",0.0556501723853022,0.46152744300923,0.054,0.039,1
"ENTPD3-AS1",0.0561431485207223,-0.672294682924649,0.056,0.071,1
"RP1-91J24.3",0.0562162014171902,0.230872585163371,0.024,0.014,1
"RP11-270M14.4",0.0567515837333922,0.525166524418053,0.016,0.008,1
"RP11-356K23.1",0.0571733384501304,1.05809317544263,0.012,0.005,1
"AC005082.12",0.0572333380405941,0.69773782501546,0.017,0.009,1
"RP11-85G18.6",0.057504376762059,1.03928164542766,0.012,0.005,1
"RP11-61K9.2",0.0579145476641651,0.572882710930813,0.017,0.009,1
"RP11-264B14.1",0.0580107474195616,1.24436973113163,0.01,0.004,1
"AP003068.23",0.058334861352856,1.03465973768705,0.01,0.004,1
"RP11-223C24.1",0.0586366606596869,0.469734180671616,0.012,0.005,1
"GABPB1-AS1",0.0589365033998069,-0.205926499430237,0.198,0.222,1
"RP11-554D14.7",0.0589708960315398,-1.03898101592779,0.005,0.01,1
"CTD-2260A17.2",0.0595323390958182,-0.911890741478278,0.033,0.045,1
"CTC-490E21.14",0.0596264750985322,0.359653340689734,0.019,0.01,1
"RP11-597D13.8",0.0596617574876979,-0.615611579758015,0.033,0.046,1
"RP11-783K16.14",0.0602788767944515,0.474335985344865,0.044,0.03,1
"RP1-39G22.7",0.0606734114169976,-0.806702214930081,0.012,0.02,1
"RP11-394O2.3",0.0617851945065454,0.391917111559501,0.014,0.006,1
"HCG11",0.0620875124707429,0.351695624112712,0.049,0.035,1
"CTD-2583P5.1",0.0620980543919943,0.426090307851847,0.024,0.015,1
"ARHGAP31-AS1",0.0623026597905413,0.380529560897769,0.014,0.006,1
"ZBTB20-AS2",0.0625106473163671,0.417036160425056,0.014,0.006,1
"KANSL1-AS1",0.0632350544053848,1.05450870454051,0.015,0.007,1
"RP1-8B1.4",0.0637898814421175,0.811711426507056,0.015,0.007,1
"RP11-218M22.1",0.0638991208178114,-0.997655623234032,0.023,0.034,1
"RP4-724E16.2",0.0639672582628095,0.463711590609648,0.015,0.007,1
"LL22NC03-2H8.5",0.0641518169684565,0.20786379480609,0.085,0.066,1
"SAP30L-AS1",0.0645092787183354,-0.112328018308938,0.143,0.115,1
"RP4-665N4.8",0.0664856491872636,0.268999916736398,0.035,0.023,1
