"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8","RNA.g9","RNA.g10","RNA.g11","RNA.g12"
"RP4-745E8.2",0.000626173885126834,0.000125273016881165,0.00131155314713632,0.00429511305326056,0.00189306479432512,0,0.00190713765338155,0,0.000558233712805725,0.0356766824251982,0,0,0
"LINC01141",0.00169713854361765,0.00148357132562936,0.0209375404190348,0.0110922947487661,1.28243553532511,0.00445972464289714,0,0.0127365619988623,0.0277083038304343,0.0252954796855461,0.107967088154344,0,0.14335208230094
"PINK1-AS",0.0241173251614159,0.0148363451484929,0.0159720081506865,0.0151865832126995,0.0245611968788743,0.0170393147717942,0.034241964522515,0.0404581704096106,0.00981978939279462,0.0230825201185739,0.0142090523934288,0,0.0348059740973941
"RP1-224A6.9",0.00318067288745662,0.00149759025032082,0.00153186528555006,0.00196079567588269,0.0106599159829023,0.00217946275576186,0.00682431105103711,0,0.00327021981755959,0,0.000629969871690886,0,0
"RP1-184J9.2",0.0335868268857021,0.0282891252721837,0.176741518953012,0.107024832022772,0.248066886311668,0.112222268777226,0.250588477275736,0.146882929373273,0.0995607314832801,0.122567346768543,0.0778851384322211,0.14795228415071,0.335894163495933
"LINC01355",0.162072409166697,0.143945293051316,0.122709230819003,0.0918714818929102,0.15030801766171,0.225529141281599,0.155165863848213,0.137560502686803,0.131317708737702,0.137560039277368,0.044293281505736,0.0991983147537773,0.145762512598279
"ZNF436-AS1",0.0575192249077647,0.0475540565198491,0.147473534490273,0.0522774899495525,0.0285281779518581,0.0547272910007935,0.0203384095302085,0.0282197575182229,0.0547713023748993,0.095885497016869,0.025232524047772,0.0184080700979309,0
"TCEB3-AS1",0.408583663575908,0.44660850824738,0.351175624927337,0.314857820224169,0.185358903557665,0.217740591378653,0.0937657986658409,0.109563162724011,0.206679532936269,0.227201798363106,0.313460394185529,0.176154092655038,0.395188234962869
"RP11-293P20.2",0.00177805697014333,0.0013982071258512,0.00530801934205697,0.00170126079482818,0.00192205187895453,0.00167052900707234,0.00361734238772195,0.00281567159331557,0.00267710392267421,0,0,0,0
"RP11-10N16.2",0.00156838837418222,0.00182875927715717,0.00154199737885292,0.0116911208445962,0.0211374663479626,0.00230689533324969,0,0,0.0134015240104252,0,0.0114168291036874,0.105885869561577,0
"RP11-10N16.3",0.00063462858699346,0.00131226235243112,0.0280792855302646,0.000652659096445218,0.046330915991318,0.00172641231800839,0.00150232981307412,0.00333131964892999,0,0.0029099442105496,0,0,0
"RP4-594I10.3",0.0089200410999406,0.00874338598849393,0.00217761293928934,0.0107365903033434,0.0124654327529689,0.000655009334538027,0.00107605190530055,0.00490358658953343,0.00277886686673496,0.0259335226377996,0,0.071008553569415,0.025800792084317
"RP4-799D16.1",0.00296877158115355,0.00415835729132654,0.000980350268510453,0.00193106631362543,0.00247613167687666,0.00375812931113474,0.00289560749291296,0.00374897272148283,0,0.00427053679793443,0.00255977408790875,0,0
"RP11-70P17.1",0.0276233322873632,0.024145683141004,0.0115276787900835,0.00222738241861765,0.0119154836782386,0.00289133553256,0.011314870097045,0.0200487416198335,0,0.00369489753125421,0.00161202623153565,0.096581273019796,0
"RP1-187B23.1",0.0196655035877535,0.0315099774769204,0.16371410611193,0.0267523019433236,0.0717501136645823,0.0213161512411563,0.00577572713646908,0.0213166458761005,0.00736943498391691,0.187624305891245,0.017217582202056,0.0742236317214473,0.0510362919071752
"RP1-317E23.3",0.0136136030574381,0.0142800252526062,0.0220370862321406,0.00868707226110649,0.0132084744938427,0.0135299051522472,0.0150223792933209,0.0107682730896052,0.00547758500736074,0.0227116102309356,0.00234462018324579,0,0
"RP1-125I3.2",0.0150602125935317,0.0225781148090332,0.0625328471334325,0.0388105123133483,0.0567373939369152,0.0397654500676046,0.0136801774600902,0.0231059834870041,0.0252249632240141,0.143014212252787,0.0359843641621993,0.0294318476136658,0
"RP3-476K8.3",0.0486090429602726,0.0357346760243736,0.0375837176419274,0.0152332909983716,0.0835584035917699,0.0367539736762452,0.0232915035233932,0.0439019812477734,0.0325383346057097,0.0818135452555333,0.00768321781505344,0.0565787565675143,0.0221407442832598
"RP1-50O24.6",0.000693751833001004,0.00182433049637669,0.0026219661382938,0.00124059382111464,0.001595476461406,0,0.000571571562302844,0,0,0,0.000427849090951176,0,0
"RP11-40H20.4",0.00160425196047928,0.00108770045689865,0.00180749110693145,0.00114520631618926,0.00164446719666283,0.00226478007568156,0.00140217449220251,0,0.00198398967343666,0,0.00170195529133645,0,0
"RP4-752I6.1",0.00880432015234269,0.00682247840381406,0.00892035942223781,0.00284755892410811,0.0402264197481506,0.000605428978519017,0.0151807409815396,0.016103064208398,0.00213369166840903,0.0128860032865844,0.00123472424768689,0,0.0109340882227842
"RP11-288L9.4",0.00330197576252599,0.00450850312536576,0.00617473717430105,0.00632351705646422,0.00876450067874836,0.00297468459705459,0.00167923567799301,0.00282572084138664,0.000839375155704091,0.0140103351085405,0.00151389685548994,0,0
"RP11-460I13.2",0.00301084033647576,0.0023540756092096,0.00867857338230257,0.00290212150493498,0.0155427487015051,0.00477355432200172,0.0010574430561627,0.00114712273513521,0,0.0157784624503806,0,0,0
"RP5-1092A3.4",0.0291585610235339,0.0242722927847227,0.0152996838185298,0.0215752145568071,0.0351688083294242,0.0201810882885723,0.0110984057277533,0.0121370266716865,0.0302206880116172,0.0866815341177054,0.00543714125145956,0.0435344499435589,0.101189850392908
"SNHG12",0.0845063663053079,0.077464354960928,0.132548093154794,0.0715605728543786,0.398930199498371,0.055534425954976,0.0861975697117765,0.105749714564309,0.046566902305962,0.0602305204943048,0.0575405096974906,0.0996734670917773,0.250802148904249
"RNU11",0.00176210584261128,0.00169039576328916,0.00201058378368155,0.00413684745478256,0.00545546620747548,0.00189648594801852,0.00880345555817396,0,0.000269153798490849,0.00666329287252368,0.000962288491395313,0.0335116151258026,0
"RP11-242O24.3",0.0036861024427484,0.0032739756908042,0.00162294246454598,0.00470791656887337,0.00469274509868365,0.000866279679408962,0.00828609243585788,0.00362805473803053,0.00165407218227016,0.00150495793341585,0.00329864236613066,0.030229380539534,0
"RP3-437I16.1",0.00150612544016309,0.00321071939176757,0.00455512511467115,0.00325950993684243,0.00421055524555824,0,0.00902640924504847,0.00342398324615774,0.00636506813001156,0.0180515736946519,0.00440104990112384,0,0
"MATN1-AS1",0.104848435287216,0.080650825609402,0.010164973096871,0.00314903403496636,0.0146751954874551,0.0273553628127205,0.0224906664028573,0.00777230616624284,0,0.00926205826318412,0.00264770649212347,0.0209912928117417,0.119313562307417
"RP5-1125N11.2",0.00156298714727301,0.00190701002891519,0.00497080899236638,0.00276610316512903,0.0018433485714502,0.00185458162962039,0,0.00331987317231721,0,0.00639554214750359,0,0,0
"RP11-266K22.2",0.0578716225463998,0.044830805639604,0.111075713354342,0.04346509011648,0.032836268459922,0.022313381258745,0.0304507648147693,0.0257683419043081,0.027681239452571,0.0525379073138416,0.00870629969318828,0.0195921694017335,0.12762330766793
"RP11-73M7.6",0.00813460783002896,0.0116404708698565,0.0155970762903631,0.00492057995496442,0.00353050972169738,0.00811185591288672,0.00502906755881526,0,0,0.0345184014360291,0.00420115150392871,0,0.0500432874436387
"RP11-84A19.2",0.00773120728457621,0.00423611852847423,0.00432260539745344,0.0047316128798216,0.00278084744184762,0.00101345764197942,0,0.00146716456363298,0.00328221129627495,0.00217129380232411,0.000748203152718589,0.0111732342937846,0
