"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP4-613B23.1",0.000712029916420226,0.89211807190482,0.321,0.172,1
"RP11-636O21.2",0.000828949240990375,-1.36119242291126,0.117,0.23,1
"RP4-680D5.2",0.000873255790016183,2.03668739716341,0.109,0.023,1
"RP11-352M15.2",0.000875988515898832,1.54174565623294,0.166,0.057,1
"RP3-525N10.2",0.000902729870494442,-0.995290672379249,0.057,0.155,1
"AC007566.10",0.000910399404171418,0.572473655101647,0.362,0.195,1
"RP11-138A9.2",0.000945177307989896,1.31815887984853,0.174,0.063,1
"RP11-867G2.8",0.000975259587995041,-1.1012132508122,0.196,0.328,1
"KB-1507C5.4",0.0010921255171157,-0.70681321133987,0.204,0.333,1
"XXbac-BCX196D17.5",0.00113009020935128,-0.644643951043567,0.494,0.621,1
"NUTM2A-AS1",0.00117421416798351,0.687336972615776,0.532,0.385,1
"LINC01376",0.00121989566675129,-0.400526332215805,0.426,0.58,1
"RP11-446J8.1",0.00124975568358011,-0.515816083346797,0.392,0.557,1
"THSD4-AS1",0.00128385213686656,1.17180663169017,0.283,0.149,1
"RP11-586K2.1",0.00130168703134876,0.932913282748863,0.268,0.132,1
"AC007682.1",0.00130469514238264,-0.726186501032019,0.185,0.305,1
"AC016831.7",0.00132332955793241,0.368472565509421,0.34,0.19,1
"RP5-1159O4.1",0.00135383285255642,-1.77740082160044,0.03,0.103,1
"PAXBP1-AS1",0.00135821454919232,-1.06092776175766,0.064,0.161,1
"RP11-203B9.4",0.00137335294336519,1.75743352143319,0.125,0.034,1
"RP11-973N13.4",0.00138885044478797,1.08072869816988,0.106,0.023,1
"RP11-274H2.2",0.00140394890056128,1.57834340945026,0.158,0.057,1
"ZNF790-AS1",0.00140988851090914,1.59886660417654,0.132,0.04,1
"RP11-373N22.3",0.0014306082999765,1.58091798776804,0.189,0.08,1
"RP11-338K17.8",0.00146140039136788,1.25226490993126,0.223,0.103,1
"NR2F1-AS1",0.00148714142114134,0.556353577967153,0.717,0.592,1
"CTC-444N24.6",0.00148917082131216,-1.44662590280998,0.121,0.224,1
"RP11-441O15.3",0.00161778840355532,0.985406024888206,0.317,0.178,1
"SPG20-AS1",0.00162114599510683,1.62880924418902,0.155,0.057,1
"RP11-166B2.8",0.0016589618169535,1.03018249167564,0.185,0.075,1
"RP11-739G5.1",0.00168726370749559,-0.41630482185055,0.494,0.621,1
"AZIN1-AS1",0.00187850128727808,-0.551916442597656,0.521,0.626,1
"NIFK-AS1",0.00193015010811375,0.806919043659803,0.381,0.241,1
"MIR2052HG",0.00207053309583536,2.54082934951236,0.117,0.034,1
"RP11-39M21.1",0.00213008185252077,0.996897052504705,0.279,0.149,1
"AC004237.1",0.00225814181320155,1.61003846077594,0.109,0.029,1
"LINC00511",0.00229782696672019,-0.74835753525456,0.423,0.546,1
"PTCHD1-AS",0.00232593701705606,0.63688820556972,0.528,0.379,1
"RP11-296E23.1",0.00238272583668215,1.17260851757796,0.128,0.04,1
"FAM83H-AS1",0.0024001093850516,-0.984606574429355,0.302,0.397,1
"FGD5-AS1",0.00244585066826945,1.3332027246502,0.23,0.121,1
"LINC00894",0.00251699064098061,-0.452133474920435,0.675,0.759,1
"PWAR6",0.00260174191500302,0.936333650722497,0.283,0.155,1
"RP11-262H14.3",0.00282886910612241,1.26201042367522,0.117,0.034,1
"RP11-603J24.5",0.00292015210928153,-1.73526159586457,0.045,0.121,1
"AC007091.1",0.00302724684035408,1.33557880898272,0.151,0.057,1
"ENTPD3-AS1",0.00310191165347512,-0.868932761319857,0.275,0.385,1
"RP4-639F20.1",0.00310527235054112,1.67411607017674,0.113,0.034,1
"RP5-864K19.4",0.00313111736015687,0.729211609739938,0.396,0.264,1
"AC022182.1",0.00370022163898934,-1.24779220586735,0.038,0.109,1
"RP11-1096G20.5",0.00380694408174689,0.824330508631412,0.23,0.115,1
"RP11-692D12.1",0.00393093679016792,-0.58480178413558,0.442,0.557,1
"DPP10-AS3",0.00423541539637346,1.02336261455241,0.196,0.092,1
"ZSCAN16-AS1",0.0043760980572857,1.31570844088484,0.17,0.075,1
"AC062017.1",0.0045310184241608,-1.8240763248406,0.045,0.115,1
"AC002451.3",0.00471020173802865,-2.0270153115467,0.038,0.103,1
"RP11-326I11.4",0.00484543539724518,-1.77645191597426,0.038,0.103,1
"RP11-55L4.2",0.00489238522400779,1.63712641255882,0.117,0.04,1
"CERS3-AS1",0.0051429509430029,1.37155392601473,0.136,0.052,1
"RP11-323I15.5",0.00530798438368946,-0.365892507863311,0.181,0.299,1
"LINC00685",0.00533433097300143,1.03815225093564,0.177,0.08,1
"DLGAP1-AS2",0.00553819732638073,-0.955935129635916,0.079,0.167,1
"RP11-887P2.5",0.00554528407050951,1.495384171234,0.125,0.046,1
"CASC2",0.0056233048145007,-0.253296830081547,0.898,0.954,1
"RP11-452H21.1",0.00588516421309147,1.06486790759632,0.117,0.04,1
"RP11-431M7.2",0.005954842071118,0.624784261964138,0.374,0.241,1
"RP11-596C23.6",0.00607809759520416,0.948060558348046,0.143,0.057,1
"RP11-33N16.2",0.00632521819222949,1.50454298445619,0.106,0.034,1
"RP11-944L7.4",0.00642554465353111,-0.641389334224514,0.472,0.552,1
"RP11-362A9.3",0.00655154191253037,-1.11922330367195,0.087,0.172,1
"RP11-83A24.2",0.0066483011121757,0.607211014213661,0.362,0.241,1
"LINC00662",0.00672792195343424,0.650990448079518,0.317,0.195,1
"RP11-53O19.3",0.00713228221450313,1.49488248477907,0.106,0.034,1
"CTBP1-AS",0.00716550397385213,0.994446460778276,0.14,0.057,1
"CFAP44-AS1",0.00728998835828776,0.831238659266989,0.234,0.126,1
"DICER1-AS1",0.00731770326552231,-0.566258888448592,0.336,0.448,1
"RP1-78O14.1",0.00756569056592136,0.895556262151164,0.185,0.092,1
"OTUD6B-AS1",0.00772225452108011,1.11326947189094,0.177,0.086,1
"LINC00598",0.00802482691656012,-0.421361490817078,0.143,0.247,1
"AC009948.5",0.00832572957591727,1.61051405754654,0.113,0.04,1
"RP11-703M24.5",0.00833232937139809,1.09420645601557,0.121,0.046,1
"SATB2-AS1",0.00887766473909364,1.27857171906205,0.121,0.046,1
"DLGAP1-AS1",0.00908101715945392,-1.20091850794684,0.106,0.19,1
"LINC00271",0.00912845445808271,-0.292113385522985,0.532,0.626,1
"CTD-2516F10.2",0.00926659968290086,1.04016685728814,0.204,0.109,1
"RP11-11N9.4",0.00940990297863423,-0.725685962305508,0.113,0.201,1
"CTC-425F1.4",0.00975782908845773,0.663440043525794,0.113,0.04,1
"AC005237.4",0.00987342808096174,-1.53167051324075,0.042,0.103,1
"RP11-498P14.5",0.00996324272674913,-0.754300242406422,0.174,0.27,1
"ZNF337-AS1",0.00999931831029264,-0.804336074179959,0.2,0.299,1
"RP11-274H2.3",0.0103042258827106,0.547489617341384,0.17,0.08,1
"LINC01006",0.01071796472899,-1.21426695086083,0.162,0.253,1
"AC009120.4",0.0110565788850345,-0.498509919623313,0.257,0.379,1
"RP11-617F23.1",0.0114385317406562,-1.13670572024917,0.075,0.149,1
"MIRLET7BHG",0.0115202340370372,0.513050232780345,0.423,0.305,1
"MFI2-AS1",0.0117436285887384,-0.894844247979197,0.185,0.27,1
"RP11-569A11.1",0.0118012076393454,-1.82762148018699,0.053,0.115,1
"RP13-726E6.1",0.0118292490024844,0.521964588402552,0.343,0.218,1
"RP11-635N19.1",0.0119289577501443,0.927794887240303,0.109,0.04,1
"XXbac-BPG294E21.9",0.0122800892021076,0.731422561558007,0.211,0.115,1
"CTB-179K24.3",0.0125361276978851,0.44407388476225,0.389,0.259,1
"RP11-230B22.1",0.0125793201491972,0.543287586526763,0.226,0.126,1
"RP11-10L7.1",0.0135691781212411,0.919320434819517,0.132,0.057,1
"AC002064.5",0.0137749887514159,0.752151336863468,0.189,0.098,1
"AP000487.6",0.0143798295060382,0.745952280509626,0.215,0.121,1
"FAM181A-AS1",0.0146749564179107,-1.0705206522571,0.06,0.126,1
"RP11-317J19.1",0.0149731501126092,0.348873068966295,0.781,0.684,1
"RP11-10L12.4",0.0151325245652739,0.991678320152299,0.147,0.069,1
"RP11-90D4.3",0.016355738680045,1.09311745942915,0.113,0.046,1
"RP11-356J5.12",0.0164346829484888,-0.586978511438193,0.098,0.178,1
"DRAIC",0.0167015608346554,0.584034966728542,0.245,0.149,1
"AC026202.3",0.0172552444477678,0.893313247375464,0.121,0.052,1
"RP11-768F21.1",0.0172909661333667,0.705997109397346,0.298,0.195,1
"SAP30L-AS1",0.018068624502571,1.63652873845513,0.125,0.057,1
"RP11-431D12.1",0.0192661612638352,0.853408745871589,0.287,0.19,1
"RP1-234P15.4",0.0195740923814294,1.20515589492789,0.132,0.063,1
"RP11-284M14.1",0.0196736147063491,-0.5660139473056,0.449,0.5,1
"AC145124.2",0.0197781960382566,1.33894719574017,0.102,0.04,1
"RP11-798M19.6",0.0198979254906434,-1.01273416252055,0.109,0.184,1
"ZMIZ1-AS1",0.0199778479545654,-0.828799529659789,0.06,0.126,1
"RP11-120J1.1",0.0199895678721577,0.632523096358373,0.279,0.178,1
"LINC01322",0.0203583330913002,1.03666418479378,0.208,0.121,1
"RP1-313I6.12",0.020442840444888,-0.984296503512593,0.091,0.161,1
"CTC-260E6.6",0.020621123093646,0.662649722564733,0.128,0.057,1
"RP1-167A14.2",0.020743563357607,-0.717263371930681,0.181,0.27,1
"LINC01094",0.020978518427481,1.17347838307693,0.132,0.063,1
"LL22NC03-2H8.5",0.0213684333193847,0.570591075735687,0.2,0.115,1
"RP5-1070A16.1",0.0218291527123895,-0.861303383443441,0.113,0.19,1
"RP11-421L21.3",0.0218504920305543,0.888546445112487,0.162,0.086,1
"UGDH-AS1",0.0226501732762194,0.466154410414704,0.336,0.23,1
"RP11-563J2.2",0.0229658558370587,-0.926462759275984,0.132,0.213,1
"RP11-656D10.3",0.0234838522152398,0.998606598054935,0.117,0.052,1
"XIST",0.0236239238511635,1.42822625518497,0.128,0.063,1
"RP3-414A15.10",0.0236649701005072,0.453171447008281,0.166,0.086,1
"AC007038.7",0.0243737661866597,0.467164048002467,0.249,0.149,1
"AC009950.2",0.0248058788374049,-0.597416031970821,0.098,0.172,1
"TARID",0.0252313351173399,1.25433649227079,0.106,0.046,1
"TTTY14",0.025422121421136,0.55278985538733,0.521,0.431,1
"STXBP5-AS1",0.0257769996153696,-1.56003048874681,0.049,0.103,1
"CTD-2378E12.1",0.026178191334313,0.921522707977255,0.147,0.075,1
"XXbac-BPG55C20.7",0.0261847307973585,0.783322374898235,0.309,0.213,1
"A2ML1-AS1",0.0264435055170995,0.622903318916728,0.23,0.138,1
"RP11-725M22.1",0.0266885398661454,-0.439682404594657,0.517,0.575,1
"CD81-AS1",0.0269889926481501,-1.06468189525859,0.151,0.224,1
"RP11-774D14.1",0.0270828382640961,0.758455324722391,0.234,0.149,1
"RP11-259O2.1",0.0280452496064078,-1.24531083077627,0.049,0.103,1
"CABIN1",0.0299580810677321,-0.282584000286378,0.691,0.701,1
"LINC00265",0.0316305970232162,-0.798751617311161,0.125,0.195,1
"ZNF529-AS1",0.0316793389781131,1.02835704136266,0.181,0.109,1
"RP11-379B18.6",0.0317258410177546,0.715340047369707,0.249,0.161,1
"RP11-678G14.2",0.0321154794905274,-0.923704524924954,0.049,0.103,1
"C8orf34-AS1",0.0331184985234304,0.606115452825372,0.355,0.259,1
"RP11-517I3.1",0.0331197793044351,0.45975844356214,0.2,0.115,1
"CTD-2007H13.3",0.0339710450555653,-0.59050295958522,0.268,0.351,1
"RP11-410L14.2",0.0345953914471393,0.693552997080469,0.215,0.132,1
"CRHR1",0.0346497899750733,0.532305349300917,0.253,0.161,1
"SNHG10",0.0348484627124348,0.949393257291118,0.132,0.069,1
"POT1-AS1",0.0352785649318977,0.36871468498555,0.189,0.109,1
"DLGAP4-AS1",0.035546929002677,-0.964267047748989,0.125,0.19,1
"LINC00299",0.0362022764416937,-1.12933423246873,0.117,0.184,1
"RP11-173D3.1",0.0365058979514008,0.611754538181543,0.143,0.075,1
"RP11-714G18.1",0.0369284096327541,1.04732023587268,0.14,0.075,1
"SEMA6A-AS1",0.0371930416891261,0.509745497425809,0.211,0.132,1
"CH507-513H4.1",0.0372410942796892,-0.509903434132715,0.513,0.563,1
"RP11-1191J2.2",0.0375639035257852,-0.626931188757467,0.136,0.207,1
"CTC-444N24.11",0.0375851578643104,0.529730846520948,0.332,0.23,1
"RP11-119D9.1",0.0378737267319091,-0.600638332969044,0.238,0.31,1
"RP11-575L7.4",0.0384214316779723,0.62795825958534,0.128,0.063,1
"CTD-2515A14.1",0.0392230939524268,1.03562921638111,0.109,0.052,1
"RP11-405A12.2",0.0394812488913361,1.70256507318207,0.106,0.052,1
"RP5-1021I20.5",0.0394988224889066,0.313237259606438,0.291,0.184,1
"RP13-941N14.1",0.0399420351511674,-0.729187709013743,0.174,0.247,1
"KCNQ1OT1",0.0401837337738065,-0.560176524780026,0.309,0.391,1
"LINC00240",0.0406867889184751,0.585644025592157,0.155,0.086,1
"LINC01513",0.0414151229713896,0.482409708504807,0.374,0.264,1
"MCPH1-AS1",0.0415422243149867,0.412743385083307,0.317,0.213,1
"RP11-418I22.3",0.041828507959159,-0.533587553281791,0.166,0.247,1
"CTBP1-AS2",0.0426624137524945,0.818873873428167,0.132,0.069,1
"RP11-62I21.1",0.0441346597060841,-0.518023691640172,0.068,0.126,1
"MZF1-AS1",0.044551783704221,0.311720377577907,0.242,0.149,1
"CTC-347C20.2",0.0466036116073697,0.498911660678581,0.26,0.178,1
"MCM3AP-AS1",0.0476087437458154,0.405047926031048,0.147,0.08,1
"CTC-347C20.1",0.049250547858147,-0.334748158465302,0.472,0.557,1
"OSMR-AS1",0.0495035398302356,-0.334661809378334,0.509,0.575,1
"LINC00609",0.0502994883863088,-0.4835591133781,0.366,0.46,1
"AP000487.5",0.0517152214879248,0.328423803970656,0.158,0.086,1
"CTC-255N20.1",0.0524110596756664,0.788418241866998,0.223,0.149,1
"RP1-187B23.1",0.0527458240041338,0.656410534519857,0.121,0.063,1
"RAB30-AS1",0.053003419583254,-0.348854587922552,0.46,0.517,1
"XXbac-BPGBPG55C20.2",0.053117087159777,1.58202538108037,0.102,0.052,1
"RP11-744I24.2",0.0533481374506337,-1.28582759675255,0.06,0.109,1
"CTD-2270L9.4",0.0535276906055365,-0.926102393792106,0.064,0.115,1
"RP11-453A12.1",0.05383260953546,-0.885627546274524,0.079,0.132,1
"RP11-295K2.3",0.0550032048232969,0.84198444888643,0.136,0.075,1
"RP11-273G15.2",0.0574860280432451,-1.10333508075552,0.075,0.126,1
