"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-131L23.1",0.00346549187195704,-0.557968398633358,0.091,0.116,1
"CTD-2555O16.2",0.00397242436214312,-0.345718669486728,0.106,0.134,1
"RP11-387H17.4",0.00470367270301831,0.557045940926416,0.117,0.091,1
"CTD-2378E12.1",0.00500161198415298,0.466897334161081,0.124,0.099,1
"LIPE-AS1",0.00506374561030367,-0.325500081123854,0.176,0.209,1
"LINC01182",0.00509924242662094,0.323137496653793,0.111,0.085,1
"CTD-2315E11.1",0.00513359527570823,-0.290714946936501,0.182,0.214,1
"XIST",0.00517699169474409,-0.395374755494626,0.091,0.116,1
"AF131217.1",0.00566197387148408,-0.267702719315893,0.097,0.123,1
"RP5-884C9.2",0.00729355192615538,-0.342947179593787,0.084,0.108,1
"RP11-696N14.1",0.0080760306656074,-0.429940381126141,0.077,0.1,1
"SNHG25",0.0093200213551847,-0.351058325618171,0.094,0.119,1
"CASC15",0.00947088252688726,0.369793296702486,0.15,0.123,1
"CTD-2054N24.2",0.0126410422459787,0.297048897613179,0.174,0.146,1
"RP11-197K3.1",0.0155709185481383,0.271364340854721,0.145,0.121,1
"RP11-10L7.1",0.0164671545070672,-0.325841272207633,0.106,0.129,1
"RP1-122P22.2",0.0166888652362099,0.310376540314579,0.204,0.179,1
"LINC00844",0.0173510055613088,0.387290907930459,0.133,0.111,1
"CTC-458G6.2",0.0196042691494286,-0.291158788061574,0.097,0.119,1
"RP11-10K16.1",0.0213328988284607,0.3237954619397,0.134,0.112,1
"AC007193.10",0.0223489472573276,0.317120879512957,0.157,0.134,1
"APTR",0.0248467545191972,0.353812197535271,0.122,0.102,1
"FLJ37453",0.0259835199771516,-0.304918876977176,0.083,0.102,1
"BAALC-AS1",0.0282968019384595,-0.357171423056289,0.18,0.202,1
"AC009403.2",0.0350126772449343,-0.298982772446282,0.164,0.187,1
"AP000487.6",0.0411245553486382,0.257645433140625,0.218,0.195,1
"FAM13A-AS1",0.0444821612775679,0.339624331339319,0.113,0.094,1
"AC074363.1",0.105727803976648,-0.263197597669718,0.236,0.255,1
"RP11-144F15.1",0.106987807962892,-0.253664592988487,0.262,0.276,1
"LINC01532",0.151977090185146,-0.33726347027386,0.1,0.112,1
"LINC01515",0.162166698359175,-0.285225541529943,0.126,0.139,1
"RP11-289H16.1",0.224095408092266,0.282283622993009,0.142,0.13,1
"OTX2-AS1",0.228496889107929,0.251142283764561,0.164,0.152,1
"AP000797.3",0.263638186650144,0.326337456209898,0.115,0.106,1
"RP4-639F20.1",0.449293191614448,-0.252993041224921,0.111,0.117,1
"HIF1A-AS2",0.907275238321916,0.270906544557909,0.111,0.113,1
