"gene","cluster_id","logFC","p_val","p_adj.loc"
"CTC-498M16.2","Astrocytes",-1.03,0.000402,0.0107
"OLMALINC","Astrocytes",1.03,0.000406,0.0107
"RP11-739N20.2","Astrocytes",1.58,0.000451,0.0115
"RP11-3B12.2","Astrocytes",-0.994,0.000552,0.0137
"RP11-284M14.1","Astrocytes",-0.837,0.000602,0.0146
"AC079305.11","Astrocytes",-1.25,0.000711,0.0167
"PARD6G-AS1","Astrocytes",1.59,0.000724,0.0167
"PAXBP1-AS1","Astrocytes",-1.19,0.000772,0.0174
"RP11-1129I3.1","Astrocytes",1.92,0.000796,0.0175
"SNAP25-AS1","Astrocytes",1.5,0.000896,0.0192
"THUMPD3-AS1","Astrocytes",0.919,0.00095,0.0195
"RP11-72M17.1","Astrocytes",-1.49,0.000938,0.0195
"ZMIZ1-AS1","Astrocytes",-1.24,0.00132,0.0265
"CTC-255N20.1","Astrocytes",1.09,0.00135,0.0266
"RP11-10L12.4","Astrocytes",1.14,0.00149,0.0288
"CTC-232P5.1","Astrocytes",1.88,0.00161,0.0304
"AP000318.2","Astrocytes",0.92,0.00167,0.031
"RP11-563J2.2","Astrocytes",-1.45,0.0018,0.0327
"ERVMER61-1","Astrocytes",-1.33,0.00191,0.0329
"RP11-462L8.1","Astrocytes",1.32,0.00187,0.0329
"RP11-20E24.1","Astrocytes",-1.13,0.00195,0.0329
"RP11-428O18.6","Astrocytes",-1.16,0.0019,0.0329
"RP11-21A7A.2","Astrocytes",1.06,0.00201,0.0333
"CH17-360D5.2","Astrocytes",1.28,0.00208,0.0334
"CRNDE","Astrocytes",0.778,0.00208,0.0334
"SMIM2-AS1","Astrocytes",-1.33,0.00223,0.0352
"AC007682.1","Astrocytes",-1.45,0.00232,0.036
"FLJ16779","Astrocytes",-1.7,0.00236,0.036
"ADAMTS9-AS2","Astrocytes",0.801,0.00251,0.0376
"PVRL3-AS1","Astrocytes",-1.23,0.00261,0.038
"CTD-2516F10.2","Astrocytes",0.853,0.00257,0.038
"ZFHX4-AS1","Astrocytes",-1.28,0.00272,0.0389
"RP11-665G4.1","Astrocytes",-1.19,0.00313,0.0429
"RP11-554F20.1","Astrocytes",-0.718,0.0031,0.0429
"AP000230.1","Astrocytes",1.03,0.00305,0.0429
"CTC-559E9.4","Astrocytes",0.995,0.00338,0.0457
