"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CTC-444N24.11",3.82801467287302e-22,0.305161075818499,0.319,0.275,1.02349628308606e-17
"RP11-356J5.12",5.15952725966794e-22,-0.555801748346074,0.08,0.109,1.37950280341742e-17
"LINC00623",1.8878927154497e-21,0.319023212764747,0.309,0.264,5.04765875329787e-17
"ELMO1-AS1",2.13435374667507e-21,0.370941125751956,0.139,0.106,5.70662161248515e-17
"CTD-2516F10.2",2.99794210118889e-21,0.542345672298829,0.11,0.081,8.01559779594874e-17
"RP11-404I7.2",4.58746747313516e-21,-0.53701292101851,0.092,0.123,1.22655117829215e-16
"PTCHD1-AS",8.17647762917492e-21,0.329833234425773,0.218,0.179,2.1861448237125e-16
"LINC01572",1.09059084510768e-20,-0.426461536046198,0.174,0.211,2.91591274256439e-16
"CASC2",1.67993010157408e-20,-0.292894227000399,0.126,0.161,4.49162911257862e-16
"ENTPD1-AS1",3.44171592337613e-20,-0.324434098105762,0.502,0.525,9.20211586433075e-16
"RP11-130F10.1",9.24954974143327e-20,-0.444508136349495,0.19,0.226,2.47305211436701e-15
"LINC01135",9.46567683203873e-20,-0.367275399954307,0.226,0.263,2.5308380145822e-15
"RP11-370I10.6",1.18617359844088e-19,-0.506950613325478,0.108,0.139,3.17147235015139e-15
"AC007038.7",2.13091175472251e-19,-0.401821785334123,0.137,0.171,5.69741875860158e-15
"C22orf34",2.4209346472569e-19,0.397082650771963,0.103,0.076,6.47285296637077e-15
"RHOXF1-AS1",4.8886717908031e-19,0.408758990094961,0.152,0.12,1.30708417670702e-14
"RORA-AS1",5.24160775982817e-19,0.29291146592651,0.199,0.162,1.40144866674526e-14
"CTD-2269F5.1",2.02563414602781e-18,-0.553962332353675,0.103,0.131,5.41593801623456e-14
"OSMR-AS1",2.20907967814094e-18,0.552147999470914,0.106,0.079,5.90641633544544e-14
"RP11-210M15.2",3.26363872235463e-18,-0.29780281536338,0.132,0.166,8.72599085195956e-14
"KCNMB2-AS1",3.55812093823175e-18,0.361755319184666,0.184,0.15,9.51334795255024e-14
"RP11-679C8.2",7.94302498312723e-18,-0.477987093105331,0.184,0.217,2.12372658973873e-13
"LINC00461",1.06524861829e-17,-0.277802361581096,0.288,0.326,2.84815523072198e-13
"NRSN2-AS1",1.45897115847376e-17,0.559896910497537,0.101,0.076,3.9008511864113e-13
"RP11-572M11.4",2.45191072818197e-17,-0.426649917069444,0.119,0.149,6.55567371394014e-13
"RP11-69I8.3",4.60597593241213e-17,-0.488924700718466,0.107,0.136,1.23149978504903e-12
"CTD-2215E18.1",9.18497299700576e-17,-0.400103802165318,0.148,0.18,2.45578623020943e-12
"RP11-299J3.8",1.11950731290108e-16,-0.550007669466916,0.099,0.125,2.99322670250362e-12
