,gene,cluster_id,baseMean,logFC,lfcSE,stat,p_val,p_adj.loc,p_adj.glb,contrast
4025,RP11-802D6.1,Astrocytes,13.4,-0.602,0.387,-1.56,0.12,0.417,0.514,PD
4026,ABHD15-AS1,Astrocytes,19,0.251,0.438,0.574,0.566,0.819,0.888,PD
4027,CTD-2349P21.11,Astrocytes,28.4,-0.00575,0.333,-0.0173,0.986,0.993,0.996,PD
4028,RP11-1094M14.11,Astrocytes,20.5,0.0627,0.395,0.159,0.874,0.961,0.979,PD
4029,AC131056.3,Astrocytes,10.9,-0.119,0.591,-0.201,0.841,0.949,0.97,PD
4030,RP11-387H17.4,Astrocytes,41.1,0.481,0.263,1.83,0.0667,0.315,0.401,PD
4031,CTD-3193K9.4,Astrocytes,16.4,0.181,0.472,0.383,0.702,0.886,0.933,PD
4032,RAMP2-AS1,Astrocytes,15.6,0.638,0.513,1.24,0.213,0.541,0.659,PD
4033,RP11-392O1.4,Astrocytes,28.6,0.0497,0.37,0.134,0.893,0.966,0.981,PD
4034,ASB16-AS1,Astrocytes,10.8,0.0763,0.398,0.192,0.848,0.952,0.972,PD
4035,RP5-882C2.2,Astrocytes,16.2,0.738,0.448,1.65,0.0995,0.376,0.472,PD
4036,AC002117.1,Astrocytes,69.8,-0.514,0.276,-1.86,0.0629,0.309,0.389,PD
4037,MAP3K14,Astrocytes,143,0.503,0.354,1.42,0.156,0.459,0.574,PD
4038,CRHR1,Astrocytes,45,-0.124,0.274,-0.451,0.652,0.873,0.919,PD
4039,MAPT-AS1,Astrocytes,34.2,0.536,0.57,0.94,0.347,0.682,0.77,PD
4040,CTD-2026D20.2,Astrocytes,30.3,0.207,0.358,0.579,0.563,0.817,0.887,PD
4041,RP11-580I16.2,Astrocytes,66.7,0.314,0.25,1.26,0.208,0.531,0.651,PD
4042,SP2-AS1,Astrocytes,12.3,-0.584,0.411,-1.42,0.155,0.459,0.573,PD
4043,RP11-166P13.4,Astrocytes,11.1,-0.0215,0.503,-0.0426,0.966,0.991,0.991,PD
4044,TSPOAP1-AS1,Astrocytes,10.8,-0.183,0.428,-0.428,0.669,0.882,0.924,PD
4045,SNHG25,Astrocytes,44.5,-0.238,0.319,-0.745,0.456,0.757,0.835,PD
4046,PRKCA-AS1,Astrocytes,53.8,0.0529,0.525,0.101,0.92,0.973,0.985,PD
4047,RP11-147L13.11,Astrocytes,17.7,-0.0292,0.341,-0.0856,0.932,0.975,0.987,PD
4048,RP11-147L13.15,Astrocytes,36.4,0.268,0.327,0.82,0.412,0.733,0.81,PD
4049,CASC17,Astrocytes,45.5,0.0878,0.301,0.292,0.77,0.914,0.953,PD
4050,LINC00511,Astrocytes,584,-0.0897,0.22,-0.408,0.683,0.882,0.929,PD
4051,MGC16275,Astrocytes,20.5,-0.508,0.43,-1.18,0.238,0.563,0.68,PD
4052,RP11-334C17.5,Astrocytes,13,0.719,0.349,2.06,0.0394,0.241,0.321,PD
4053,CTD-2047H16.4,Astrocytes,106,0.0391,0.262,0.149,0.881,0.965,0.979,PD
4054,RP11-1055B8.4,Astrocytes,14.6,0.187,0.565,0.331,0.741,0.899,0.944,PD
4055,RP13-516M14.1,Astrocytes,16.8,0.438,0.48,0.912,0.362,0.698,0.783,PD
4056,RP13-270P17.2,Astrocytes,15.4,0.324,0.574,0.565,0.572,0.822,0.892,PD
4057,DLGAP1-AS1,Astrocytes,18.6,-0.0735,0.366,-0.201,0.841,0.949,0.97,PD
4058,DLGAP1-AS2,Astrocytes,18.8,0.263,0.377,0.697,0.486,0.782,0.852,PD
4059,LINC00667,Astrocytes,40.5,0.715,0.383,1.87,0.0615,0.304,0.383,PD
4060,RP11-403A21.1,Astrocytes,13.6,-0.0619,0.475,-0.13,0.896,0.967,0.982,PD
4061,AQP4-AS1,Astrocytes,600,-0.492,0.267,-1.84,0.0657,0.315,0.399,PD
4062,DSCAS,Astrocytes,20.4,-0.983,0.441,-2.23,0.0258,0.186,0.258,PD
4063,LINC00907,Astrocytes,96,2.08,0.345,6.01,1.81E-09,1.04E-06,5.93E-06,PD
4064,RP11-116O18.3,Astrocytes,29,-0.0179,0.607,-0.0295,0.976,0.993,0.994,PD
4065,SNHG22,Astrocytes,80.6,0.0361,0.252,0.143,0.886,0.966,0.98,PD
4066,MAPK4,Astrocytes,1100,0.164,0.248,0.662,0.508,0.798,0.864,PD
4067,RP11-35G9.5,Astrocytes,50.6,0.0131,0.361,0.0363,0.971,0.993,0.992,PD
4068,RP11-635N19.1,Astrocytes,14.2,0.0927,0.347,0.267,0.79,0.927,0.958,PD
4069,RP11-638L3.1,Astrocytes,13,0.358,0.518,0.69,0.49,0.786,0.856,PD
4070,LINC00909,Astrocytes,24.4,0.0611,0.325,0.188,0.851,0.952,0.974,PD
4071,RP11-162A12.2,Astrocytes,19.6,-0.158,0.358,-0.44,0.66,0.877,0.921,PD
4072,RP11-849I19.1,Astrocytes,51,0.159,0.269,0.59,0.555,0.812,0.882,PD
4073,PARD6G-AS1,Astrocytes,30.2,1.59,0.469,3.38,0.000724,0.0167,0.0313,PD
4074,NRSN2-AS1,Astrocytes,93.6,0.236,0.397,0.594,0.553,0.811,0.88,PD
4075,SDCBP2-AS1,Astrocytes,66.4,0.0893,0.254,0.351,0.726,0.899,0.939,PD
4076,RP5-968J1.1,Astrocytes,56.5,-0.137,0.305,-0.449,0.653,0.873,0.919,PD
4077,RP5-858L17.1,Astrocytes,69.7,-0.214,0.285,-0.749,0.454,0.757,0.833,PD
4078,UBOX5-AS1,Astrocytes,9.68,0.748,0.549,1.36,0.173,0.491,0.604,PD
4079,LINC00658,Astrocytes,9.59,-1.3,0.525,-2.48,0.013,0.119,0.18,PD
4080,SNAP25-AS1,Astrocytes,40,1.5,0.452,3.32,0.000896,0.0192,0.0367,PD
4081,RP11-103J8.1,Astrocytes,14,-0.674,0.393,-1.71,0.0866,0.356,0.449,PD
4082,RP1-122P22.2,Astrocytes,84,0.325,0.286,1.14,0.256,0.586,0.697,PD
4083,ZNF337-AS1,Astrocytes,46.5,-0.662,0.288,-2.3,0.0215,0.165,0.234,PD
4084,RP5-1085F17.3,Astrocytes,23,1.35,0.475,2.84,0.00454,0.0564,0.0977,PD
4085,NORAD,Astrocytes,67.9,0.548,0.335,1.63,0.102,0.381,0.478,PD
4086,DLGAP4-AS1,Astrocytes,19.9,0.145,0.357,0.407,0.684,0.882,0.929,PD
4087,PLCG1-AS1,Astrocytes,22.2,0.237,0.376,0.631,0.528,0.805,0.873,PD
4088,OSER1-AS1,Astrocytes,19.9,0.807,0.301,2.68,0.00742,0.0796,0.132,PD
4089,RP11-394O2.3,Astrocytes,16.4,-0.214,0.343,-0.624,0.533,0.805,0.874,PD
4090,ZFAS1,Astrocytes,47.8,0.00353,0.246,0.0144,0.989,0.993,0.997,PD
4091,RP4-678D15.1,Astrocytes,53.2,0.88,0.431,2.04,0.0412,0.246,0.326,PD
4092,MIR646HG,Astrocytes,69,0.488,0.491,0.993,0.321,0.655,0.752,PD
4093,FLJ16779,Astrocytes,13,-1.7,0.56,-3.04,0.00236,0.036,0.0682,PD
4094,CTD-3184A7.4,Astrocytes,19.7,0.516,0.402,1.28,0.199,0.52,0.64,PD
4095,CTC-232P5.1,Astrocytes,12.9,1.88,0.595,3.15,0.00161,0.0304,0.0552,PD
4096,CTB-66B24.1,Astrocytes,12.4,1.05,0.551,1.91,0.0556,0.289,0.368,PD
4097,CTD-3020H12.4,Astrocytes,10.7,0.242,0.42,0.577,0.564,0.817,0.887,PD
4098,RAB11B-AS1,Astrocytes,11.7,0.652,0.413,1.58,0.115,0.406,0.502,PD
4099,ILF3-AS1,Astrocytes,40.7,-0.019,0.254,-0.0748,0.94,0.979,0.989,PD
4100,CTC-425F1.4,Astrocytes,17.4,1.22,0.448,2.72,0.00654,0.0727,0.122,PD
4101,CTB-55O6.12,Astrocytes,18.9,0.109,0.311,0.35,0.727,0.899,0.94,PD
4102,CTD-2189E23.1,Astrocytes,21.4,0.704,0.533,1.32,0.186,0.506,0.621,PD
4103,CTD-3131K8.2,Astrocytes,41.8,0.814,0.353,2.3,0.0212,0.164,0.232,PD
4104,CTC-559E9.4,Astrocytes,20.7,0.995,0.339,2.93,0.00338,0.0457,0.0817,PD
4105,CTC-260E6.6,Astrocytes,20.7,0.295,0.36,0.82,0.412,0.733,0.81,PD
4106,CTC-513N18.7,Astrocytes,19,-0.611,0.319,-1.92,0.0555,0.289,0.368,PD
4107,RP11-678G14.2,Astrocytes,12.5,-0.234,0.72,-0.325,0.745,0.901,0.945,PD
4108,LINC00662,Astrocytes,109,0.474,0.229,2.07,0.0386,0.241,0.318,PD
4109,CTC-459F4.3,Astrocytes,25.7,-0.465,0.305,-1.53,0.127,0.424,0.529,PD
4110,AC011524.1,Astrocytes,23,0.561,0.467,1.2,0.23,0.558,0.675,PD
4111,LINC01532,Astrocytes,41.3,-0.0432,0.271,-0.16,0.873,0.961,0.979,PD
4112,AC007796.1,Astrocytes,16.9,0.273,0.367,0.743,0.457,0.757,0.835,PD
4113,HPN-AS1,Astrocytes,14.1,0.787,0.663,1.19,0.235,0.56,0.679,PD
4114,LINC00665,Astrocytes,23.5,-0.00214,0.281,-0.00762,0.994,0.997,0.998,PD
4115,ZNF529-AS1,Astrocytes,47.3,0.247,0.232,1.07,0.287,0.625,0.724,PD
4116,ZNF790-AS1,Astrocytes,29.7,0.0431,0.262,0.165,0.869,0.96,0.977,PD
4117,LINC01535,Astrocytes,21.3,-0.13,0.373,-0.348,0.728,0.899,0.941,PD
4118,LIPE-AS1,Astrocytes,94.1,-0.0231,0.235,-0.0982,0.922,0.973,0.986,PD
4119,CTC-490G23.6,Astrocytes,11.7,-0.742,0.478,-1.55,0.12,0.417,0.515,PD
4120,RP11-15A1.2,Astrocytes,14.9,-0.523,0.368,-1.42,0.155,0.459,0.573,PD
4121,CTB-179K24.3,Astrocytes,45.5,0.641,0.326,1.96,0.0494,0.275,0.353,PD
4122,AC074212.6,Astrocytes,12.4,0.0452,0.44,0.103,0.918,0.973,0.985,PD
4123,AC007193.6,Astrocytes,22.6,-0.43,0.396,-1.09,0.277,0.614,0.715,PD
4124,AC007193.10,Astrocytes,44.9,0.696,0.565,1.23,0.218,0.545,0.666,PD
4125,PTOV1-AS1,Astrocytes,13.3,0.297,0.388,0.765,0.444,0.754,0.828,PD
4126,ZNF350-AS1,Astrocytes,54.7,0.273,0.263,1.04,0.3,0.643,0.734,PD
4127,LENG8-AS1,Astrocytes,11.8,0.0538,0.462,0.117,0.907,0.967,0.983,PD
4128,ZNF667-AS1,Astrocytes,30.3,0.0742,0.259,0.286,0.775,0.916,0.954,PD
4129,AC007228.11,Astrocytes,19.4,0.0556,0.333,0.167,0.868,0.96,0.977,PD
4130,CTC-444N24.6,Astrocytes,26.8,0.479,0.327,1.46,0.143,0.448,0.552,PD
4131,CTC-444N24.11,Astrocytes,124,0.659,0.319,2.06,0.0391,0.241,0.32,PD
4132,CTD-3138B18.5,Astrocytes,19.1,0.233,0.38,0.612,0.54,0.805,0.877,PD
4133,MZF1-AS1,Astrocytes,14.9,0.248,0.364,0.682,0.495,0.789,0.859,PD
4134,LINC00278,Astrocytes,126,-0.277,1.19,-0.233,0.816,0.94,0.965,PD
4135,TTTY15,Astrocytes,26.9,-0.282,0.692,-0.407,0.684,0.882,0.929,PD
4136,TTTY14,Astrocytes,317,0.0979,1.11,0.0886,0.929,0.975,0.986,PD
4137,TTTY10,Astrocytes,47,-0.363,0.889,-0.408,0.683,0.882,0.929,PD
4138,CECR5-AS1,Astrocytes,27.7,0.0166,0.368,0.0453,0.964,0.99,0.991,PD
4139,LL22NC03-2H8.5,Astrocytes,56,-0.112,0.508,-0.221,0.825,0.944,0.968,PD
4140,PCAT14,Astrocytes,24.2,0.0889,0.375,0.237,0.813,0.938,0.964,PD
4141,CABIN1,Astrocytes,175,0.14,0.265,0.53,0.596,0.842,0.901,PD
4142,CTA-243E7.1,Astrocytes,16.1,-0.0145,0.52,-0.028,0.978,0.993,0.994,PD
4143,MIAT,Astrocytes,68.8,-0.347,0.354,-0.98,0.327,0.656,0.757,PD
4144,MIATNB,Astrocytes,65.4,0.00337,0.214,0.0157,0.987,0.993,0.997,PD
4145,CTA-292E10.6,Astrocytes,60.1,-0.0611,0.234,-0.261,0.794,0.928,0.959,PD
4146,RFPL1S,Astrocytes,13.2,-0.722,0.466,-1.55,0.122,0.418,0.515,PD
4147,PIK3IP1-AS1,Astrocytes,12.8,-0.48,0.373,-1.29,0.198,0.519,0.639,PD
4148,RP3-508I15.14,Astrocytes,12,0.163,0.471,0.345,0.73,0.899,0.942,PD
4149,NUP50-AS1,Astrocytes,110,0.601,0.272,2.21,0.0272,0.192,0.266,PD
4150,MIRLET7BHG,Astrocytes,249,0.0554,0.273,0.203,0.839,0.949,0.97,PD
4151,RP11-717F1.2,Astrocytes,26.2,-0.245,0.639,-0.384,0.701,0.886,0.933,PD
4152,CH507-513H4.1,Astrocytes,525,0.066,0.45,0.147,0.883,0.965,0.98,PD
4153,CH507-528H12.1,Astrocytes,385,-0.133,0.548,-0.243,0.808,0.935,0.963,PD
4154,bP-21264C1.2,Astrocytes,46.4,-0.439,0.396,-1.11,0.268,0.604,0.708,PD
4155,AP001347.6,Astrocytes,49.4,0.123,0.266,0.46,0.645,0.873,0.917,PD
4156,MIR99AHG,Astrocytes,3450,-0.0915,0.157,-0.584,0.559,0.816,0.885,PD
4157,LINC00158,Astrocytes,13.5,-0.00135,0.357,-0.00378,0.997,0.998,0.999,PD
4158,AP000230.1,Astrocytes,17.5,1.03,0.346,2.96,0.00305,0.0429,0.0788,PD
4159,AF131217.1,Astrocytes,56.5,-0.0735,0.326,-0.225,0.822,0.942,0.967,PD
4160,LINC00159,Astrocytes,22,1.76,0.407,4.31,1.60E-05,0.00133,0.00315,PD
4161,PAXBP1-AS1,Astrocytes,21.4,-1.19,0.353,-3.36,0.000772,0.0174,0.0328,PD
4162,C21orf62-AS1,Astrocytes,128,0.0458,0.202,0.227,0.821,0.942,0.966,PD
4163,LINC00310,Astrocytes,24.9,1.04,0.408,2.54,0.0112,0.108,0.168,PD
4164,AP000318.2,Astrocytes,40,0.92,0.293,3.14,0.00167,0.031,0.057,PD
4165,AP001628.6,Astrocytes,11.7,0.393,0.431,0.913,0.361,0.698,0.783,PD
4166,MCM3AP-AS1,Astrocytes,20.2,0.0621,0.376,0.165,0.869,0.96,0.977,PD
4167,LINC00645,Astrocytes,16.5,-0.601,0.569,-1.06,0.291,0.631,0.729,PD
4168,RP11-34P13.7,Excitatory Neurons (SubtypeA),29.3,0.146,0.417,0.35,0.726,0.939,0.94,PD
4169,RP11-206L10.9,Excitatory Neurons (SubtypeA),292,0.149,0.154,0.967,0.334,0.768,0.76,PD
4170,RP5-902P8.10,Excitatory Neurons (SubtypeA),14.6,-0.0248,0.385,-0.0644,0.949,0.99,0.991,PD
4171,RP11-345P4.9,Excitatory Neurons (SubtypeA),27.9,-0.422,0.38,-1.11,0.266,0.705,0.706,PD
4172,RP11-154H17.1,Excitatory Neurons (SubtypeA),40.3,-1.61,0.354,-4.56,5.18E-06,0.000852,0.00147,PD
4173,RP11-431K24.1,Excitatory Neurons (SubtypeA),19.3,0.109,0.421,0.26,0.795,0.956,0.959,PD
4174,MIR34A,Excitatory Neurons (SubtypeA),150,0.741,0.448,1.65,0.0981,0.44,0.47,PD
4175,RP4-635E18.7,Excitatory Neurons (SubtypeA),14.4,0.333,0.494,0.674,0.501,0.884,0.862,PD
4176,RP4-704D23.1,Excitatory Neurons (SubtypeA),17.3,0.19,0.515,0.369,0.712,0.939,0.936,PD
4177,FLJ37453,Excitatory Neurons (SubtypeA),28.1,0.193,0.344,0.562,0.574,0.903,0.892,PD
4178,RP1-37C10.3,Excitatory Neurons (SubtypeA),39.5,-0.0377,0.555,-0.068,0.946,0.99,0.991,PD
4179,RP1-43E13.2,Excitatory Neurons (SubtypeA),54.6,0.301,0.222,1.36,0.175,0.601,0.605,PD
4180,RP1-184J9.2,Excitatory Neurons (SubtypeA),49.9,0.0911,0.305,0.298,0.766,0.948,0.951,PD
4181,LINC01355,Excitatory Neurons (SubtypeA),39.3,-0.154,0.248,-0.623,0.533,0.888,0.874,PD
4182,ZNF436-AS1,Excitatory Neurons (SubtypeA),24.8,-0.384,0.366,-1.05,0.293,0.733,0.73,PD
4183,TCEB3-AS1,Excitatory Neurons (SubtypeA),134,0.194,0.201,0.967,0.333,0.768,0.76,PD
4184,RP1-125I3.2,Excitatory Neurons (SubtypeA),20.2,-0.3,0.598,-0.502,0.616,0.916,0.907,PD
4185,SNHG12,Excitatory Neurons (SubtypeA),32.8,-0.0664,0.36,-0.185,0.854,0.983,0.975,PD
4186,RP11-266K22.2,Excitatory Neurons (SubtypeA),20.2,-0.294,0.421,-0.699,0.485,0.871,0.852,PD
4187,RP11-84A19.4,Excitatory Neurons (SubtypeA),20.4,0.544,0.391,1.39,0.164,0.585,0.589,PD
4188,RP11-277A4.4,Excitatory Neurons (SubtypeA),22.2,0.307,0.365,0.841,0.401,0.809,0.806,PD
4189,RP1-117O3.2,Excitatory Neurons (SubtypeA),18.8,-0.0293,0.636,-0.0461,0.963,0.992,0.991,PD
4190,RP11-415J8.3,Excitatory Neurons (SubtypeA),12.2,-0.0634,0.586,-0.108,0.914,NA,0.984,PD
4191,ZMYM4-AS1,Excitatory Neurons (SubtypeA),12.6,-0.279,0.775,-0.36,0.719,NA,0.938,PD
4192,RP4-665N4.8,Excitatory Neurons (SubtypeA),19.7,0.318,0.464,0.685,0.493,0.881,0.858,PD
4193,RP11-268J15.5,Excitatory Neurons (SubtypeA),44,-0.278,0.273,-1.02,0.309,0.749,0.741,PD
4194,RP11-109P14.10,Excitatory Neurons (SubtypeA),25.2,-0.0664,0.571,-0.116,0.907,0.99,0.983,PD
4195,RP5-884C9.2,Excitatory Neurons (SubtypeA),21.8,0.223,0.545,0.409,0.682,0.926,0.929,PD
4196,RP5-864K19.4,Excitatory Neurons (SubtypeA),722,0.298,0.222,1.34,0.18,0.608,0.613,PD
4197,RP1-39G22.7,Excitatory Neurons (SubtypeA),18.1,-0.211,0.404,-0.522,0.602,0.914,0.903,PD
4198,RP11-656D10.3,Excitatory Neurons (SubtypeA),68.1,0.219,0.216,1.02,0.309,0.749,0.741,PD
4199,SLFNL1-AS1,Excitatory Neurons (SubtypeA),17.4,-0.0464,0.408,-0.114,0.91,0.99,0.984,PD
4200,RP11-399E6.1,Excitatory Neurons (SubtypeA),71.5,0.793,0.305,2.6,0.00933,0.135,0.151,PD
4201,SLC2A1-AS1,Excitatory Neurons (SubtypeA),46,-0.549,0.273,-2.01,0.0442,0.291,0.334,PD
4202,RP11-269F19.2,Excitatory Neurons (SubtypeA),16.5,0.359,0.461,0.78,0.435,0.836,0.824,PD
4203,CYP4A22-AS1,Excitatory Neurons (SubtypeA),80.2,0.459,0.355,1.29,0.196,0.64,0.637,PD
4204,RP11-141A19.1,Excitatory Neurons (SubtypeA),17.2,0.293,0.592,0.495,0.62,0.917,0.91,PD
4205,LINC01562,Excitatory Neurons (SubtypeA),26.6,-0.523,0.28,-1.87,0.0613,0.34,0.383,PD
4206,RP5-1024G6.2,Excitatory Neurons (SubtypeA),15.2,0.378,0.367,1.03,0.303,0.748,0.737,PD
4207,RP4-784A16.5,Excitatory Neurons (SubtypeA),82.1,-0.141,0.263,-0.537,0.591,0.906,0.899,PD
4208,RP11-90C4.1,Excitatory Neurons (SubtypeA),15.1,-0.499,0.471,-1.06,0.29,0.733,0.727,PD
4209,LINC01135,Excitatory Neurons (SubtypeA),73.5,-0.196,0.391,-0.502,0.616,0.916,0.907,PD
4210,LINC01358,Excitatory Neurons (SubtypeA),44.5,-1.13,0.539,-2.11,0.0352,0.271,0.305,PD
4211,RP11-776H12.1,Excitatory Neurons (SubtypeA),39,-0.00503,0.44,-0.0114,0.991,0.996,0.998,PD
4212,RP11-436K8.1,Excitatory Neurons (SubtypeA),30,-0.394,0.464,-0.849,0.396,0.808,0.8,PD
4213,RP11-430G17.3,Excitatory Neurons (SubtypeA),25.2,-0.363,0.432,-0.84,0.401,0.809,0.806,PD
4214,RP11-230B22.1,Excitatory Neurons (SubtypeA),35.5,0.821,0.294,2.79,0.0053,0.0981,0.107,PD
4215,RP5-1044H5.1,Excitatory Neurons (SubtypeA),36.6,0.29,0.592,0.49,0.624,0.917,0.912,PD
4216,RP4-598P13.1,Excitatory Neurons (SubtypeA),12.7,-0.293,0.725,-0.404,0.686,NA,0.93,PD
4217,GNG12-AS1,Excitatory Neurons (SubtypeA),48.7,-0.838,0.394,-2.13,0.0334,0.271,0.299,PD
4218,RP4-660H19.1,Excitatory Neurons (SubtypeA),20.8,0.224,0.399,0.56,0.575,0.903,0.892,PD
4219,RP11-262K1.1,Excitatory Neurons (SubtypeA),76.1,0.4,0.196,2.04,0.0414,0.287,0.326,PD
4220,RP11-550H2.1,Excitatory Neurons (SubtypeA),17.3,1.52,0.516,2.94,0.00324,0.0729,0.0806,PD
4221,RP4-564M11.2,Excitatory Neurons (SubtypeA),22.4,-0.567,0.449,-1.26,0.207,0.646,0.649,PD
4222,LINC01362,Excitatory Neurons (SubtypeA),16.2,-0.0999,0.625,-0.16,0.873,0.989,0.979,PD
4223,RP11-475O6.1,Excitatory Neurons (SubtypeA),270,-1.1,0.216,-5.11,3.22E-07,0.000106,0.000228,PD
4224,RP11-486G15.2,Excitatory Neurons (SubtypeA),16.8,-0.452,0.504,-0.896,0.37,0.799,0.789,PD
4225,RP11-131L23.1,Excitatory Neurons (SubtypeA),40.7,-0.154,0.391,-0.393,0.694,0.928,0.932,PD
4226,RP4-651E10.4,Excitatory Neurons (SubtypeA),36,0.923,0.295,3.12,0.00178,0.048,0.0593,PD
4227,PKN2-AS1,Excitatory Neurons (SubtypeA),207,-1.53,0.368,-4.15,3.32E-05,0.00341,0.00502,PD
4228,FLJ27354,Excitatory Neurons (SubtypeA),45.6,-0.0853,0.285,-0.299,0.765,0.948,0.951,PD
4229,RP4-639F20.1,Excitatory Neurons (SubtypeA),23.8,-0.395,0.381,-1.04,0.301,0.744,0.734,PD
4230,RP11-57H12.3,Excitatory Neurons (SubtypeA),21.3,-0.255,0.474,-0.539,0.59,0.906,0.899,PD
4231,DPYD-AS1,Excitatory Neurons (SubtypeA),30.4,-0.581,0.511,-1.14,0.256,0.694,0.697,PD
4232,MIR137HG,Excitatory Neurons (SubtypeA),1540,-0.454,0.224,-2.02,0.0431,0.29,0.331,PD
4233,RP5-1070A16.1,Excitatory Neurons (SubtypeA),143,-0.755,0.373,-2.02,0.043,0.29,0.331,PD
4234,RP5-896L10.1,Excitatory Neurons (SubtypeA),350,-0.372,0.159,-2.34,0.0191,0.201,0.219,PD
4235,RP11-421L21.3,Excitatory Neurons (SubtypeA),110,0.226,0.232,0.975,0.33,0.768,0.758,PD
4236,RP5-1065J22.8,Excitatory Neurons (SubtypeA),17.7,0.703,0.42,1.67,0.0942,0.433,0.462,PD
4237,RP5-1074L1.1,Excitatory Neurons (SubtypeA),27.8,1.21,0.599,2.03,0.0427,0.29,0.33,PD
4238,RP5-1074L1.4,Excitatory Neurons (SubtypeA),20.9,-0.217,0.485,-0.447,0.655,0.917,0.919,PD
4239,RP11-284N8.3,Excitatory Neurons (SubtypeA),127,0.378,0.414,0.912,0.362,0.792,0.783,PD
4240,RP11-88H9.2,Excitatory Neurons (SubtypeA),20.9,-0.546,0.445,-1.23,0.219,0.669,0.666,PD
4241,RP5-965F6.2,Excitatory Neurons (SubtypeA),15.5,-0.132,0.363,-0.365,0.715,0.939,0.937,PD
4242,RP3-522D1.1,Excitatory Neurons (SubtypeA),98.3,0.0698,0.283,0.247,0.805,0.96,0.962,PD
4243,SLC16A1-AS1,Excitatory Neurons (SubtypeA),629,-0.109,0.237,-0.457,0.647,0.917,0.919,PD
4244,RP11-31F15.2,Excitatory Neurons (SubtypeA),64.7,0.103,0.281,0.366,0.715,0.939,0.937,PD
4245,AP4B1-AS1,Excitatory Neurons (SubtypeA),13.3,-0.089,0.436,-0.204,0.838,NA,0.97,PD
4246,RP4-663N10.1,Excitatory Neurons (SubtypeA),11.4,-0.715,0.495,-1.44,0.148,NA,0.562,PD
4247,RP11-418J17.1,Excitatory Neurons (SubtypeA),269,0.351,0.172,2.04,0.041,0.287,0.326,PD
4248,RP11-418J17.3,Excitatory Neurons (SubtypeA),42.7,-0.921,0.447,-2.06,0.0391,0.286,0.32,PD
4249,LINC00623,Excitatory Neurons (SubtypeA),673,-0.0233,0.193,-0.121,0.904,0.99,0.983,PD
4250,RP11-439A17.10,Excitatory Neurons (SubtypeA),39.4,0.0991,0.38,0.261,0.794,0.956,0.959,PD
4251,CH17-437K3.1,Excitatory Neurons (SubtypeA),378,0.29,0.264,1.1,0.271,0.709,0.71,PD
4252,RP11-403I13.5,Excitatory Neurons (SubtypeA),11.4,0.327,0.482,0.679,0.497,NA,0.861,PD
4253,RP11-403I13.7,Excitatory Neurons (SubtypeA),52.4,0.142,0.213,0.667,0.505,0.885,0.863,PD
4254,CH17-125A10.2,Excitatory Neurons (SubtypeA),270,0.263,0.445,0.59,0.556,0.895,0.882,PD
4255,RP11-289H16.1,Excitatory Neurons (SubtypeA),1370,0.255,0.364,0.702,0.483,0.869,0.851,PD
4256,RP11-458D21.1,Excitatory Neurons (SubtypeA),20.7,-0.566,0.416,-1.36,0.174,0.601,0.605,PD
4257,RP11-337C18.8,Excitatory Neurons (SubtypeA),291,0.651,0.169,3.85,0.000116,0.00795,0.0115,PD
4258,LINC00624,Excitatory Neurons (SubtypeA),22.7,-0.306,0.346,-0.884,0.377,0.801,0.792,PD
4259,RP4-565E6.1,Excitatory Neurons (SubtypeA),464,-0.0253,0.199,-0.127,0.899,0.99,0.982,PD
4260,CH17-189H20.1,Excitatory Neurons (SubtypeA),801,0.224,0.184,1.22,0.223,0.673,0.67,PD
4261,FALEC,Excitatory Neurons (SubtypeA),36.9,0.286,0.312,0.916,0.36,0.79,0.782,PD
4262,FLG-AS1,Excitatory Neurons (SubtypeA),443,-0.214,0.278,-0.768,0.443,0.841,0.828,PD
4263,RP11-190A12.8,Excitatory Neurons (SubtypeA),11.4,0.0388,0.423,0.0917,0.927,NA,0.986,PD
4264,RP11-404F10.2,Excitatory Neurons (SubtypeA),11,-0.816,0.441,-1.85,0.0645,NA,0.395,PD
4265,RP11-122G18.12,Excitatory Neurons (SubtypeA),18.2,-0.74,0.486,-1.52,0.128,0.516,0.529,PD
4266,RGS5,Excitatory Neurons (SubtypeA),42.8,0.245,0.233,1.05,0.293,0.733,0.73,PD
4267,RP11-466F5.8,Excitatory Neurons (SubtypeA),14.9,0.384,0.436,0.88,0.379,0.801,0.792,PD
4268,LINC00970,Excitatory Neurons (SubtypeA),200,0.156,0.307,0.508,0.611,0.916,0.907,PD
4269,RP1-15D23.2,Excitatory Neurons (SubtypeA),27.7,-0.528,0.626,-0.843,0.399,0.809,0.805,PD
4270,RP11-296O14.3,Excitatory Neurons (SubtypeA),426,0.109,0.177,0.619,0.536,0.888,0.875,PD
4271,RP11-318C24.2,Excitatory Neurons (SubtypeA),75.9,0.279,0.215,1.3,0.195,0.64,0.635,PD
4272,RP11-195C7.1,Excitatory Neurons (SubtypeA),32.1,0.186,0.32,0.581,0.561,0.899,0.886,PD
4273,RP1-35C21.2,Excitatory Neurons (SubtypeA),27.5,0.565,0.425,1.33,0.184,0.617,0.618,PD
4274,RP11-46A10.5,Excitatory Neurons (SubtypeA),12.9,0.242,0.413,0.584,0.559,NA,0.885,PD
4275,LINC01344,Excitatory Neurons (SubtypeA),11.1,-0.822,0.596,-1.38,0.167,NA,0.596,PD
