"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","symbol"
"ENSG00000196187",0,1.64815266517489,0.642,0.278,0,"0","ENSG00000196187","TMEM63A"
"ENSG00000249853",0,1.86899925556757,0.659,0.298,0,"0","ENSG00000249853","HS3ST5"
"ENSG00000019144",0,1.86661267620986,0.777,0.416,0,"0","ENSG00000019144","PHLDB1"
"ENSG00000145794",0,1.40310136506598,0.732,0.371,0,"0","ENSG00000145794","MEGF10"
"ENSG00000012171",0,1.85117004891877,0.598,0.24,0,"0","ENSG00000012171","SEMA3B"
"ENSG00000101445",0,1.95567276032395,0.692,0.335,0,"0","ENSG00000101445","PPP1R16B"
"ENSG00000135362",0,1.33800708930471,0.658,0.302,0,"0","ENSG00000135362","PRR5L"
"ENSG00000273507",0,3.98102898158498,0.433,0.077,0,"0","ENSG00000273507","RP11-50D16.4"
"ENSG00000152894",0,1.44274521440645,0.965,0.61,0,"0","ENSG00000152894","PTPRK"
"ENSG00000127946",0,1.52004086762545,0.854,0.499,0,"0","ENSG00000127946","HIP1"
"ENSG00000167191",0,1.69994189021503,0.83,0.477,0,"0","ENSG00000167191","GPRC5B"
"ENSG00000115365",0,1.43157423388535,0.805,0.453,0,"0","ENSG00000115365","LANCL1"
"ENSG00000163531",0,2.05612190161945,0.89,0.54,0,"0","ENSG00000163531","NFASC"
"ENSG00000150867",0,2.12219591554019,0.995,0.645,0,"0","ENSG00000150867","PIP4K2A"
"ENSG00000176463",0,1.49777175720501,0.897,0.547,0,"0","ENSG00000176463","SLCO3A1"
"ENSG00000135636",0,3.60929065517758,0.451,0.103,0,"0","ENSG00000135636","DYSF"
"ENSG00000155111",0,1.83161941852286,0.889,0.541,0,"0","ENSG00000155111","CDK19"
"ENSG00000169554",0,1.35652702590577,0.96,0.615,0,"0","ENSG00000169554","ZEB2"
"ENSG00000021645",0,0.833793612176294,0.845,0.5,0,"0","ENSG00000021645","NRXN3"
"ENSG00000138411",0,1.73422442670187,0.757,0.413,0,"0","ENSG00000138411","HECW2"
"ENSG00000120658",0,1.59229626392062,0.868,0.524,0,"0","ENSG00000120658","ENOX1"
"ENSG00000162944",0,1.32350573024872,0.778,0.438,0,"0","ENSG00000162944","RFTN2"
"ENSG00000127955",0,1.70796596386376,0.729,0.389,0,"0","ENSG00000127955","GNAI1"
"ENSG00000167641",0,1.53354586951371,0.582,0.242,0,"0","ENSG00000167641","PPP1R14A"
"ENSG00000186231",0,1.99639192759341,0.896,0.557,0,"0","ENSG00000186231","KLHL32"
"ENSG00000275832",0,1.82806152868461,0.651,0.313,0,"0","ENSG00000275832","ARHGAP23"
"ENSG00000135905",0,1.35432623231933,0.976,0.638,0,"0","ENSG00000135905","DOCK10"
"ENSG00000171368",0,2.31020148515679,0.615,0.278,0,"0","ENSG00000171368","TPPP"
"ENSG00000178568",0,0.583610655068052,0.925,0.589,0,"0","ENSG00000178568","ERBB4"
"ENSG00000109654",0,1.9546236378062,0.963,0.627,0,"0","ENSG00000109654","TRIM2"
"ENSG00000145416",0,1.4482690393633,0.96,0.624,0,"0","ENSG00000145416","MARCH1"
"ENSG00000124251",0,2.66913830934506,0.483,0.147,0,"0","ENSG00000124251","TP53TG5"
"ENSG00000250722",0,0.723899544743333,0.656,0.321,0,"0","ENSG00000250722","SEPP1"
"ENSG00000171840",0,2.62581445811705,0.468,0.135,0,"0","ENSG00000171840","NINJ2"
"ENSG00000087258",0,1.89065069515595,0.876,0.543,0,"0","ENSG00000087258","GNAO1"
"ENSG00000166086",0,1.70471711700864,0.751,0.421,0,"0","ENSG00000166086","JAM3"
